capital,gross_cagr,net_cagr,drag_pp,net_sharpe,net_turnover,gross_turnover,commission,impact
100000.0,0.102798,0.098389,0.44089,0.572137,7.026295,7.037469,5552.095,737.936802
1000000.0,0.109643,0.107138,0.250537,0.590658,7.307595,7.310972,8928.99,26032.777018
10000000.0,0.110205,0.104481,0.572471,0.577193,7.329374,7.333967,65056.695,808519.291869
100000000.0,0.11025,0.094411,1.583893,0.533162,7.322845,7.336871,614787.335,23409090.504184
1000000000.0,0.110266,0.081562,2.870354,0.478094,6.289173,7.337011,4752615.66,456726833.726947
